Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
11/1/2012,11266.5,11349.4,11230.2,11315.05,11943617,970.02
11/2/2012,11450.65,11477.55,11394.15,11460.45,26219173,1442.92
11/5/2012,11449.7,11489.3,11401.3,11475.15,11184845,827.64
11/6/2012,11427.95,11568.45,11427.95,11539.05,14244357,1106.28
11/7/2012,11545.35,11719.1,11519.6,11665.5,21617945,1749.41
11/8/2012,11561.35,11637.95,11533.3,11613.55,13787952,1287.88
11/9/2012,11608.8,11663.9,11427.2,11475.6,19604506,2122.67
11/12/2012,11488.1,11608.8,11462.3,11583.85,15428653,1448.61
11/13/2012,11585.3,11598.25,11513.4,11533.9,2504897,229.34
11/15/2012,11493.1,11530.25,11419.05,11521.4,13583244,1183.03
11/16/2012,11487.55,11537.15,11306.05,11335.5,13780382,1273.35
11/19/2012,11342.65,11378.25,11256.4,11306.95,11207437,1019.03
11/20/2012,11373.95,11409.8,11269.7,11318.3,14734331,1276.9
11/21/2012,11352.2,11477.35,11303.75,11465.35,15898274,1299.67
11/22/2012,11497.35,11570.85,11495.05,11508.35,13754016,1232.37
11/23/2012,11540.6,11549,11392,11475.8,10848603,918.86
11/26/2012,11534.2,11534.2,11411.1,11432.45,10227442,921.06
11/27/2012,11502.2,11663.5,11502.2,11657.4,21560134,1769.74
11/29/2012,11706.9,12035.4,11703.25,11992.8,32109553,2720.2
11/30/2012,12082.55,12175.3,12001.15,12158.9,25464482,2054.59
12/3/2012,12126.6,12165.65,12053.45,12103.9,16419409,1429.75
12/4/2012,12092.75,12215.5,12075.9,12197.15,15645716,1404.23
12/5/2012,12240.85,12314.8,12219.3,12281.6,15888429,1454
12/6/2012,12358.35,12480.6,12142.6,12427.55,17741528,1637.35
12/7/2012,12462.4,12477.85,12305.65,12363.7,19816879,1808.83
12/10/2012,12380,12409.75,12341.15,12381.65,17825543,1389.71
12/11/2012,12418.95,12538.9,12238,12344.6,19636674,1755.53
12/12/2012,12374.7,12385.55,12271.35,12301.7,16210115,1447.93
12/13/2012,12337.35,12438.85,12251.05,12269.15,15851392,1439.15
12/14/2012,12247.25,12447.35,12242.8,12424.7,18401284,1568.44
12/17/2012,12403.65,12462.25,12402.7,12427.45,16692865,1473.62
12/18/2012,12455.7,12522.65,12197.2,12477.15,23383919,2274.49
12/19/2012,12514,12571.6,12455.55,12510.25,19306782,1690.05
12/20/2012,12514.6,12514.6,12385.1,12486.5,14902530,1387.23
12/21/2012,12423.6,12432.2,12288.9,12315.05,17029277,1430.3
12/24/2012,12363.85,12366.25,12265.75,12317.7,11707012,932.89
12/26/2012,12350.25,12519,12304.7,12479.45,10972152,1028.21
12/27/2012,12516.05,12523.5,12436.65,12459.7,18249505,1684.76
