Date,Open,High,Low,Close,Adj Close,Volume
11/3/2014,17087,17168.4,16934.85,17134.1,17134.1,27947948
11/5/2014,17201.45,17425.2,17157.8,17352.95,17352.95,26884330
11/7/2014,17366.85,17383.6,17202.2,17347.05,17347.05,27539546
11/10/2014,17364.65,17412,17203,17262.4,17262.4,18619468
11/11/2014,17266.25,17434.15,17220.45,17390.2,17390.2,22486483
11/12/2014,17461.45,17635.9,17453.45,17587.05,17587.05,27093290
11/13/2014,17645.3,17651,17389.65,17453,17453,23662826
11/14/2014,17460.55,17601.15,17410.5,17576.8,17576.8,27021001
11/17/2014,17571.7,17676.6,17469.25,17640.4,17640.4,26928513
11/18/2014,17672.85,17750.25,17601.15,17702.55,17702.55,24168195
11/19/2014,17739.2,17745.7,17557.1,17585.65,17585.65,19839984
11/20/2014,17649.35,17681.8,17546.7,17645.05,17645.05,38059457
11/21/2014,17767.75,18139.95,17716.65,18056.3,18056.3,56331995
11/24/2014,18128.6,18313.1,18119.65,18281.95,18281.95,40439295
11/25/2014,18261.95,18261.95,17992.5,18037.05,18037.05,57611224
11/26/2014,17914.35,18128.15,17890.85,17975.95,17975.95,32391132
11/27/2014,17988.7,18054.65,17898.4,18022.5,18022.5,44024254
11/28/2014,18082.4,18615.4,18082.4,18513.15,18513.15,67159535
12/1/2014,18586.95,18676.1,18497,18525.3,18525.3,43682395
12/2/2014,18434.75,18601.85,18301,18555.85,18555.85,54738132
12/3/2014,18549.75,18723.65,18518,18645.85,18645.85,44130903
12/4/2014,18758.8,18793.15,18575.35,18782.85,18782.85,46278757
12/5/2014,18827.6,18875.45,18706.25,18756.75,18756.75,41358139
12/8/2014,18804.95,18804.95,18486.55,18510.05,18510.05,32475946
12/9/2014,18499.95,18585.35,18248.1,18290.65,18290.65,39683603
12/10/2014,18183.1,18532.9,18183.1,18462.95,18462.95,47192327
12/11/2014,18427.5,18529.65,18218.4,18405,18405,45844918
12/12/2014,18413.7,18501.75,18236.55,18299.75,18299.75,38148580
12/15/2014,18176.7,18470.05,18157.25,18372.65,18372.65,41440078
12/16/2014,18249,18308.95,17776.35,17830.55,17830.55,63860864
12/17/2014,17762.25,18051.85,17502.45,17865.75,17865.75,81367367
12/18/2014,18238,18356.3,18109.35,18326.6,18326.6,56245826
12/19/2014,18545.7,18563.6,18413.75,18478.9,18478.9,63612345
12/22/2014,18562.35,18801.15,18424,18747.35,18747.35,39132217
12/23/2014,18746.8,18923.6,18558.5,18603.75,18603.75,41066755
12/24/2014,18582.75,18709.15,18493.3,18535.35,18535.35,54661971
12/26/2014,18602.55,18681.75,18448.6,18557.2,18557.2,29898270
