Date,Close
11/1/2012,11315.05
11/2/2012,11460.45
11/5/2012,11475.15
11/6/2012,11539.05
11/7/2012,11665.5
11/8/2012,11613.55
11/9/2012,11475.6
11/12/2012,11583.85
11/13/2012,11533.9
11/15/2012,11521.4
11/16/2012,11335.5
11/19/2012,11306.95
11/20/2012,11318.3
11/21/2012,11465.35
11/22/2012,11508.35
11/23/2012,11475.8
11/26/2012,11432.45
11/27/2012,11657.4
11/29/2012,11992.8
11/30/2012,12158.9
12/3/2012,12103.9
12/4/2012,12197.15
12/5/2012,12281.6
12/6/2012,12427.55
12/7/2012,12363.7
12/10/2012,12381.65
12/11/2012,12344.6
12/12/2012,12301.7
12/13/2012,12269.15
12/14/2012,12424.7
12/17/2012,12427.45
12/18/2012,12477.15
12/19/2012,12510.25
12/20/2012,12486.5
12/21/2012,12315.05
12/24/2012,12317.7
12/26/2012,12479.45
12/27/2012,12459.7
12/28/2012,12458.15
12/31/2012,12474.25
1/1/2013,12654.15
1/2/2013,12786.85
1/3/2013,12778.15
1/4/2013,12787.35
1/7/2013,12708.7
1/8/2013,12725.5
1/9/2013,12718
1/10/2013,12802.25
1/11/2013,12617.85
1/14/2013,12758.75
1/15/2013,12855.4
1/16/2013,12638.5
1/17/2013,12649.6
1/18/2013,12680
1/21/2013,12651.35
1/22/2013,12574.35
1/23/2013,12635.2
1/24/2013,12561.4
1/25/2013,12693.25
1/28/2013,12781.35
1/29/2013,12722.8
1/30/2013,12767.5
1/31/2013,12708.6
2/1/2013,12606.25
2/4/2013,12548.35
2/5/2013,12467.75
2/6/2013,12417.7
2/7/2013,12349.3
2/8/2013,12280.15
2/11/2013,12333
2/12/2013,12405.25
2/13/2013,12385.1
2/14/2013,12311.3
2/15/2013,12336.55
2/18/2013,12347.2
2/19/2013,12413.65
2/20/2013,12363.7
2/21/2013,12055.5
2/22/2013,12068.95
2/25/2013,12037.3
2/26/2013,11844.85
2/27/2013,11930.5
2/28/2013,11487.35
3/1/2013,11540.05
3/4/2013,11575.6
3/5/2013,11792.05
3/6/2013,11876.2
3/7/2013,11970.25
3/8/2013,12197.25
3/11/2013,12165.4
3/12/2013,12054.5
3/13/2013,11777.5
3/14/2013,12020.75
3/15/2013,11816.55
3/18/2013,11735.5
3/19/2013,11508.05
3/20/2013,11254.85
3/21/2013,11238.35
3/22/2013,11204.05
3/25/2013,11125.65
3/26/2013,11163.45
3/28/2013,11361.85
4/1/2013,11425.55
4/2/2013,11523.4
4/3/2013,11344.1
4/4/2013,11126.25
4/5/2013,11098.95
4/8/2013,11012.65
4/9/2013,10929.15
4/10/2013,11122.25
4/11/2013,11306.5
4/12/2013,11410.1
4/15/2013,11526.25
4/16/2013,11871.6
4/17/2013,11981.05
4/18/2013,12288.25
4/22/2013,12576.2
4/23/2013,12543.4
4/25/2013,12726.85
4/26/2013,12533.15
4/29/2013,12609.15
4/30/2013,12561.55
5/2/2013,12709.95
5/3/2013,12393.6
5/6/2013,12396.4
5/7/2013,12631.5
5/8/2013,12643.05
5/9/2013,12596.3
5/10/2013,12752.3
5/11/2013,12780.15
5/13/2013,12568.85
5/14/2013,12583.6
5/15/2013,13077.9
5/16/2013,13239.45
5/17/2013,13317.1
5/20/2013,13181.5
5/21/2013,13066.5
5/22/2013,13008.25
5/23/2013,12636.5
5/24/2013,12769.35
5/27/2013,12961.55
5/28/2013,12950
5/29/2013,12853.2
5/30/2013,12805.9
5/31/2013,12475.65
6/3/2013,12402.1
6/4/2013,12275.1
6/5/2013,12289.35
6/6/2013,12398.4
6/7/2013,12231.5
6/10/2013,12087.05
6/11/2013,11820.5
6/12/2013,11814.85
6/13/2013,11686.75
6/14/2013,11922.85
6/17/2013,11971.05
6/18/2013,11820.95
6/19/2013,11852.65
6/20/2013,11375.4
6/21/2013,11340.15
6/24/2013,11178.3
6/25/2013,11181.05
6/26/2013,11066.55
6/27/2013,11235.75
6/28/2013,11617.25
7/1/2013,11714.9
7/2/2013,11614.25
7/3/2013,11357.8
7/4/2013,11381.2
7/5/2013,11434.3
7/8/2013,11283.3
7/9/2013,11442.45
7/10/2013,11364.45
7/11/2013,11655.3
7/12/2013,11722.8
7/15/2013,11790.25
7/16/2013,11226.15
7/17/2013,10971.6
7/18/2013,11187.7
7/19/2013,10973.9
7/22/2013,11086.95
7/23/2013,11239.7
7/24/2013,10720.15
7/25/2013,10614
7/26/2013,10465.25
7/29/2013,10331
7/30/2013,10209.55
7/31/2013,10015.75
8/1/2013,10142.95
8/2/2013,9997.8
8/5/2013,10094.9
8/6/2013,9703.1
8/7/2013,9757.25
8/8/2013,9816.4
8/12/2013,9711.4
8/13/2013,9985.65
8/14/2013,10026.4
8/16/2013,9450.85
8/19/2013,9145
8/20/2013,9218.95
8/21/2013,9264.4
8/22/2013,9268.9
8/23/2013,9470.1
8/26/2013,9373.55
8/27/2013,8870.5
8/28/2013,8760.85
8/29/2013,8904.6
8/30/2013,9049.2
9/2/2013,9139.5
9/3/2013,8664.2
9/4/2013,8845.75
9/5/2013,9682.4
9/6/2013,9961.4
9/10/2013,10188.25
9/11/2013,10369.1
9/12/2013,10158.55
9/13/2013,10180.45
9/16/2013,10368.4
9/17/2013,10279.6
9/18/2013,10447.85
9/19/2013,11148.65
9/20/2013,10686.8
9/23/2013,10211.7
9/24/2013,10175.9
9/25/2013,10081.7
9/26/2013,10098.25
9/27/2013,9899.75
9/30/2013,9617.8
10/1/2013,9883.3
10/3/2013,10222.95
10/4/2013,10197.15
10/7/2013,10082.1
10/8/2013,10141.45
10/9/2013,10334.95
10/10/2013,10288.95
10/11/2013,10622.15
10/14/2013,10665.25
10/15/2013,10389.25
10/17/2013,10336.55
10/18/2013,10744.9
10/21/2013,10797.55
10/22/2013,10809.1
10/23/2013,10880.65
10/24/2013,10902.45
10/25/2013,10896.5
10/28/2013,10773.2
10/29/2013,11241.65
10/30/2013,11249.35
10/31/2013,11473.15
11/1/2013,11628.65
11/3/2013,11614.05
11/5/2013,11498.9
11/6/2013,11292.55
11/7/2013,11054.9
11/8/2013,10913.15
11/11/2013,10758.45
11/12/2013,10583.05
11/13/2013,10523.35
11/14/2013,10811.2
11/18/2013,11142.3
11/19/2013,11187.85
11/20/2013,10967.15
11/21/2013,10706.9
11/22/2013,10677.35
11/25/2013,11083.4
11/26/2013,10909.35
11/27/2013,10899.3
11/28/2013,10906.75
11/29/2013,11153.95
12/2/2013,11284.35
12/3/2013,11211.3
12/4/2013,11156.75
12/5/2013,11665.1
12/6/2013,11720.2
12/9/2013,12065.9
12/10/2013,11843.45
12/11/2013,11784.35
12/12/2013,11635.5
12/13/2013,11366.9
12/16/2013,11372.95
12/17/2013,11208.65
12/18/2013,11357.9
12/19/2013,11087.45
12/20/2013,11292.35
12/23/2013,11378.5
12/24/2013,11330.65
12/26/2013,11385.75
12/27/2013,11459.7
12/30/2013,11376
12/31/2013,11385.25
1/1/2014,11385.6
1/2/2014,11183.2
1/3/2014,11181.65
1/6/2014,11049.05
1/7/2014,11036.75
1/8/2014,11053.7
1/9/2014,10970.45
1/10/2014,10805.3
1/13/2014,11021.6
1/14/2014,10948.9
1/15/2014,11125.4
1/16/2014,11092.55
1/17/2014,10911.35
1/20/2014,11007.5
1/21/2014,11171.5
1/22/2014,11207.35
1/23/2014,11199
1/24/2014,10982.4
1/27/2014,10540.4
1/28/2014,10507.6
1/29/2014,10437.75
1/30/2014,10153.15
1/31/2014,10237.75
2/3/2014,10102.1
2/4/2014,10191.2
2/5/2014,10231.65
2/6/2014,10205.2
2/7/2014,10263.2
2/10/2014,10213.9
2/11/2014,10245.45
2/12/2014,10348.8
2/13/2014,10135.7
2/14/2014,10203.75
2/17/2014,10326.55
2/18/2014,10575.2
2/19/2014,10609.6
2/20/2014,10428.3
2/21/2014,10554.35
2/24/2014,10683.5
2/25/2014,10666.75
2/26/2014,10730.4
